0x213D062,018C
0x213D065,8B
0x213D06D,2F
0x213D070,001A0013
0x213D078,000E
0x213D07D,0AFCA70232FB99
0x213D086,80
0x213D089,173AB7
0x213D08D,0AFEA2FECB05CB
0x213D096,BFFF
0x213D099,158AD5
0x213D09D,0AFAF00033015C
0x213D0A6,90
0x213D0AA,29A1
0x213D0AD,0A
0x213D0AF,AA
0x213D0B1,12
0x213D0B3,24
0x213D0B6,9000
0x213D0BA,6B78
0x213D0FD,27
0x213D0FF,07F7D2F8F1
0x213D10A,8005
0x213D11F,87
0x213D121,D8
0x213D123,4A
0x213D12A,0F000126
0x213D12F,1A
0x213D131,DB
0x213D133,A3
0x213D13A,1F15
0x213D13D,14
0x213D13F,A1FF04
0x213D143,4E
0x213D146,BFFF
0x213D14A,0000000AFD62F803FFEE
0x213D156,BFFF
0x213D15A,59D1
0x213D15D,150321001101B0
0x213D16A,0302000AFAC400500371
0x213D176,0000
0x213D17A,62D2
0x213D19C,000A
0x213D19F,5AFEB90310
0x213D1A6,40
0x213D1A9,048B64
0x213D1AD,95FB1E
0x213D1B1,E8010480
0x213D1B8,40
0x213D1BA,B420
0x213D1BD,D2F76B
0x213D1C1,64FD48
0x213D1C6,40
0x213D1CA,0011000AFAFD
0x213D1D1,27
0x213D1D3,AD
0x213D1D6,E666
0x213D1DA,2982
0x213D1EA,2014000A0440001700C8
0x213D1F6,30
0x213D1FA,5E450015FADD008CFED9
0x213D20A,0714
0x213D20D,D20321001101B0
0x213D21A,8021000AFC3C00EC02C2
0x213D226,10
0x213D229,1437D4
0x213D22D,410167001900FE
0x213D236,40
0x213D23A,0342
0x213D23D,26FBC50017FD60
0x213D246,90
0x213D24A,1F17000A0220FFF802C8
0x213D256,0B33
0x213D25A,2EA60015F76B0064FD48
0x213D266,4000
0x213D26A,0614
0x213D27B,0B
0x213D27E,FADD000FFED9
0x213D28C,000AFE04F7D4F8E4
0x213D296,80
0x213D29A,47D9000AF9090221FC04
0x213D2A6,A0
0x213D2A9,218C4F
0x213D2AD,D2FAB6
0x213D2B1,500371
0x213D2BA,80120015FE11F94DF6D8
0x213D2C6,40
0x213D2CA,1A060019039E004CFD6E
0x213D2D6,BCCC
0x213D2DD,D2
0x213D2E3,CB
0x21BD060,008C
0x21BD064,0163
0x21BD068,011E00C20024
0x21BD072,03A402E2FAE8
0x21BD081,15FBB1
0x21BD085,7AF433
0x21BD08E,040201D2FC140075F3BD
0x21BD09E,801B
0x21BD0A1,CDFDF30154F894
0x21BD0AA,40
0x21BD0AE,02
0x21BD0B0,01D2FAC2
0x21BD0B5,4FF3E7
0x21BD0BE,800B01D2FB86007BF463
0x21BD0CE,8006
0x21BD0D1,D2
0x21BD0D3,FB
0x21BD0D5,73
0x21BD0D7,DE
0x21BD0DF,09000A01DA0216FAE7
0x21BD0ED,14BB74000A015F023F
0x21BD0F7,AA
0x21BD0FA,40
0x21BD0FD,000A
0x21BD100,000AFDC9
0x21BD105,37FAAF
0x21BD10D,1B8B7B
0x21BD111,38FC4E0270F3A1
0x21BD11A,30
0x21BD11E,1401
0x21BD121,D2FD62
0x21BD125,36F9F1
0x21BD12E,0404
0x21BD131,D2
0x21BD133,B2
0x21BD135,79F432
